Reaction.Type,y,I,day
2,0,133,17.30104443
1,1,132,17.31690398
2,0,133,17.31956394
2,0,132,17.34199117
2,0,131,17.37098381
1,1,130,17.38416135
1,1,131,17.38800065
2,0,132,17.38916339
1,1,131,17.42749512
1,1,132,17.43403016
2,0,133,17.47353065
2,0,132,17.47433136
1,1,131,17.47946375
2,0,132,17.48451672
1,1,131,17.50227827
1,1,132,17.50251068
1,1,133,17.52752634
1,1,134,17.54285808
2,0,135,17.5479326
1,1,134,17.55136745
1,1,135,17.5551722
1,1,136,17.5688119
2,0,137,17.58211334
2,0,136,17.59557462
1,1,135,17.62710893
1,1,136,17.63291209
1,1,137,17.64356675
2,0,138,17.65249812
1,1,137,17.66109456
2,0,138,17.69504799
2,0,137,17.7077647
1,1,136,17.71682476
1,1,137,17.72262704
1,1,138,17.73538979
1,1,139,17.74687077
1,1,140,17.75119868
1,1,141,17.75193265
2,0,142,17.77638335
1,1,141,17.78847336
1,1,142,17.80354261
1,1,143,17.81502388
2,0,144,17.8402029
2,0,143,17.84084092
2,0,142,17.87995736
2,0,141,17.91095479
2,0,140,17.92153472
1,1,139,18.00083328
1,1,140,18.00452653
2,0,141,18.01020418
1,1,140,18.08124392
1,1,141,18.08495695
2,0,142,18.09201621
2,0,141,18.10541502
1,1,140,18.10782893
2,0,141,18.11876997
2,0,140,18.13095345
2,0,139,18.15128851
1,1,138,18.15277917
2,0,139,18.15679589
1,1,138,18.1644985
1,1,139,18.2153157
1,1,140,18.22247523
2,0,141,18.22436514
1,1,140,18.22767478
1,1,141,18.22872937
1,1,142,18.22942424
1,1,143,18.23674182
1,1,144,18.25409483
1,1,145,18.26094481
1,1,146,18.28061147
2,0,147,18.28579832
2,0,146,18.2917487
1,1,145,18.30742789
2,0,146,18.30773073
1,1,145,18.31771632
2,0,146,18.31931617
2,0,145,18.33195379
1,1,144,18.34283419
1,1,145,18.35396534
2,0,146,18.36900224
2,0,145,18.36920117
2,0,144,18.37287534
2,0,143,18.37480197
2,0,142,18.3967916
2,0,141,18.41898447
1,1,140,18.41955971
2,0,141,18.43092131
2,0,140,18.43262197
2,0,139,18.44489623
2,0,138,18.44494384
1,1,137,18.45938094
1,1,138,18.47416446
1,1,139,18.47584486
1,1,140,18.48285567
1,1,141,18.48344356
2,0,142,18.50690006
2,0,141,18.59789224
2,0,140,18.60050766
1,1,139,18.61048314
2,0,140,18.62889976
1,1,139,18.63275923
1,1,140,18.65786211
2,0,141,18.67515355
2,0,140,18.72930653
1,1,139,18.74759383
1,1,140,18.78639929
2,0,141,18.85083071
1,1,140,18.85566412
2,0,141,18.85607974
1,1,140,18.88945459
2,0,141,18.89218691
2,0,140,18.89458737
1,1,139,18.92605089
1,1,140,18.94238391
1,1,141,18.96324508
1,1,142,18.99700019
2,0,143,19.01862018
1,1,142,19.02858988
1,1,143,19.04885395
1,1,144,19.06106366
2,0,145,19.08713791
2,0,144,19.08824263
2,0,143,19.08976209
1,1,142,19.09260039
1,1,143,19.14718292
2,0,144,19.19817488
1,1,143,19.20575162
1,1,144,19.26124082
2,0,145,19.27593443
2,0,144,19.27702261
1,1,143,19.2921239
2,0,144,19.29982089
1,1,143,19.32102764
1,1,144,19.33352476
2,0,145,19.33640168
1,1,144,19.33717772
2,0,145,19.35866908
1,1,144,19.37327937
2,0,145,19.41964673
1,1,144,19.42899967
2,0,145,19.48461299
1,1,144,19.49789192
2,0,145,19.50469312
2,0,144,19.50704992
2,0,143,19.52210406
1,1,142,19.53244256
2,0,143,19.53682541
2,0,142,19.53795144
2,0,141,19.54127676
2,0,140,19.55660157
1,1,139,19.56335003
1,1,140,19.56485304
1,1,141,19.58084281
2,0,142,19.58439038
2,0,141,19.59082261
2,0,140,19.61609342
1,1,139,19.61633038
1,1,140,19.68069087
1,1,141,19.69340144
2,0,142,19.70009317
1,1,141,19.7504474
2,0,142,19.76753496
1,1,141,19.80628188
1,1,142,19.80777851
2,0,143,19.81120132
2,0,142,19.81449117
1,1,141,19.81711705
1,1,142,19.82036859
2,0,143,19.82119633
1,1,142,19.82673329
1,1,143,19.83260221
2,0,144,19.8609939
1,1,143,19.8633749
1,1,144,19.8976853
1,1,145,19.91948669
2,0,146,19.91962456
1,1,145,19.93942449
1,1,146,19.96504475
1,1,147,19.96532147
2,0,148,19.9716766
1,1,147,19.98500424
1,1,148,20.00687756
1,1,149,20.0518127
1,1,150,20.07636663
1,1,151,20.09233
2,0,152,20.10118292
2,0,151,20.10481163
1,1,150,20.10722417
1,1,151,20.12021251
2,0,152,20.12857907
1,1,151,20.17412403
2,0,152,20.23362717
2,0,151,20.25438457
2,0,150,20.26972915
1,1,149,20.27271983
2,0,150,20.27893853
2,0,149,20.29814323
1,1,148,20.30193807
2,0,149,20.31241563
1,1,148,20.33055117
2,0,149,20.33255336
2,0,148,20.35734869
2,0,147,20.36867974
2,0,146,20.38356452
2,0,145,20.3888239
2,0,144,20.40144392
1,1,143,20.41978028
1,1,144,20.42488218
2,0,145,20.43148548
1,1,144,20.44871279
2,0,145,20.50172803
2,0,144,20.50399312
1,1,143,20.50531531
1,1,144,20.50911839
1,1,145,20.51234057
2,0,146,20.57271583
2,0,145,20.57379236
2,0,144,20.57517795
1,1,143,20.58043248
2,0,144,20.5810973
2,0,143,20.60586388
2,0,142,20.62214368
1,1,141,20.62329174
1,1,142,20.63096799
1,1,143,20.64348693
1,1,144,20.64945659
2,0,145,20.64959001
1,1,144,20.66184205
2,0,145,20.67853906
1,1,144,20.70934871
1,1,145,20.71499224
2,0,146,20.75442506
2,0,145,20.78066076
2,0,144,20.80976937
2,0,143,20.81085798
1,1,142,20.81297323
2,0,143,20.81548566
1,1,142,20.81918993
1,1,143,20.85390086
1,1,144,20.87044901
2,0,145,20.90729454
2,0,144,20.91356189
1,1,143,20.94944448
2,0,144,20.96186617
1,1,143,21.00923566
2,0,144,21.01548354
2,0,143,21.02779198
2,0,142,21.03014879
2,0,141,21.043335
1,1,140,21.05008134
1,1,141,21.05493698
1,1,142,21.06342903
2,0,143,21.07843195
2,0,142,21.08345749
2,0,141,21.0906887
2,0,140,21.10095195
1,1,139,21.10720906
2,0,140,21.11394282
1,1,139,21.12991478
1,1,140,21.13193347
2,0,141,21.16542678
2,0,140,21.1936157
2,0,139,21.2041244
2,0,138,21.20856172
1,1,137,21.21742031
1,1,138,21.25040286
2,0,139,21.26380472
1,1,138,21.27710304
2,0,139,21.2902947
1,1,138,21.29126539
2,0,139,21.30820546
1,1,138,21.31455232
2,0,139,21.32387727
2,0,138,21.32450937
2,0,137,21.33858254
1,1,136,21.3484311
2,0,137,21.37441389
2,0,136,21.3757878
1,1,135,21.38332673
1,1,136,21.39535276
1,1,137,21.40047176
1,1,138,21.42683338
1,1,139,21.4277221
1,1,140,21.44175068
1,1,141,21.44237249
1,1,142,21.44622996
2,0,143,21.47053272
1,1,142,21.47091669
1,1,143,21.4725356
1,1,144,21.477863
1,1,145,21.48246195
1,1,146,21.51138675
1,1,147,21.52684664
1,1,148,21.54035556
1,1,149,21.54303759
2,0,150,21.56310401
1,1,149,21.56733076
2,0,150,21.58357937
1,1,149,21.58849067
2,0,150,21.60247585
1,1,149,21.62958465
2,0,150,21.63198897
1,1,149,21.63764011
1,1,150,21.68401183
2,0,151,21.69337163
2,0,150,21.71073132
2,0,149,21.73021792
2,0,148,21.73048334
2,0,147,21.74006566
2,0,146,21.74697986
2,0,145,21.75803595
2,0,144,21.77279703
1,1,143,21.78633114
2,0,144,21.78963911
1,1,143,21.79286925
2,0,144,21.82849633
1,1,143,21.82955274
1,1,144,21.9070663
2,0,145,21.93863243
2,0,144,21.94057038
1,1,143,21.94127706
1,1,144,21.94735593
1,1,145,21.94760438
1,1,146,21.95597821
2,0,147,21.95976145
2,0,146,21.96503803
1,1,145,21.9793167
2,0,146,21.98106593
2,0,145,21.98563732
1,1,144,21.99003524
2,0,145,22.01010808
1,1,144,22.01909625
1,1,145,22.02440245
1,1,146,22.02666432
1,1,147,22.06041499
1,1,148,22.08790109
2,0,149,22.11534901
1,1,148,22.11961247
1,1,149,22.12287764
1,1,150,22.12844974
2,0,151,22.12931619
2,0,150,22.14147369
1,1,149,22.15699643
2,0,150,22.16578483
2,0,149,22.18451645
1,1,148,22.19574266
1,1,149,22.19628539
2,0,150,22.20209451
2,0,149,22.21398416
2,0,148,22.24440388
1,1,147,22.24740144
1,1,148,22.26263063
2,0,149,22.27457819
1,1,148,22.29264449
1,1,149,22.2970942
2,0,150,22.29729222
1,1,149,22.30508432
1,1,150,22.30718238
1,1,151,22.31871993
1,1,152,22.33410857
2,0,153,22.33983024
1,1,152,22.34918405
1,1,153,22.35488066
2,0,154,22.36903675
1,1,153,22.37180109
2,0,154,22.37979576
2,0,153,22.39303065
1,1,152,22.40932575
2,0,153,22.41724355
2,0,152,22.42818819
1,1,151,22.43994772
1,1,152,22.45659438
2,0,153,22.45805056
1,1,152,22.48403457
1,1,153,22.51031123
2,0,154,22.51773541
1,1,153,22.51851108
1,1,154,22.52183724
2,0,155,22.52439097
1,1,154,22.52699109
1,1,155,22.54248654
1,1,156,22.57148822
2,0,157,22.59173525
2,0,156,22.61207124
